word,count
ompreng,45
food,45
tray,44
babi,28
minyak,21
mengandung,15
bisa,15
makanan,15
dalam,14
bahan,14
makan,13
grade,13
stainless,12
program,11
wadah,11
proses,10
anak,10
tapi,9
dicuci,8
tidak,8
saya,8
halal,7
china,7
masak,7
digunakan,7
cuci,7
basi,7
higienis,7
keracunan,7
bersih,7
punya,6
pencucian,6
hingga,6
gizi,6
nasional,6
soal,6
steel,6
diduga,6
bergizi,6
gratis,6
alat,5
dilakukan,5
sisa,5
memanaskannya,5
oven,5
badan,5
lebih,5
apakah,5
dapur,5
satu,5
