theme,tweet_id,created_at,author_username,text_raw,like_count,reply_count,repost_count,tweet_url,rep_score
handling_stackability,1980236305897513307,2025-10-20T11:35:00Z,AiraNtiePuspa,"Guru skrg, selain hrs jago ngiket food tray MBG jg wajib punya skill Damkar😂😂😂
Kok bisa sii bocil ciwi ini nyangkut, mana permen nya ga dilepas pulaakk😂 https://t.co/Mn0LW9wqYy",49,8,10,https://x.com/AiraNtiePuspa/status/1980236305897513307,106
handling_stackability,1979021825100185743,2025-10-17T03:09:06Z,giuseppinamnd,drama ompreng MBG ilang 🙂,11,4,0,https://x.com/giuseppinamnd/status/1979021825100185743,34
handling_stackability,1971537141235876347,2025-09-26T11:27:38Z,terracotta___,Barusan lihat vidio tumpukan tray MBG tergenang sealiran air kotor di Banten. Ya Allah mual banget.,0,0,0,https://x.com/terracotta___/status/1971537141235876347,30
handling_stackability,1981597488877547773,2025-10-24T05:43:52Z,Ridwanffff,"@ViktorTorik @v_arumsepty @salam4jari @prabowo @PurbayaYudhi bukan disitu masalahnya pak. tp hygiene dan food safety. kalau dipake ngirim barang non makanan terus dipake untuk ngirim ompreng MBG, makanannya bisa compromised. udh ngga ""food grade"" lg. kecuali dibersihkan disanitasi sampai bersih",1,0,0,https://x.com/Ridwanffff/status/1981597488877547773,28
handling_stackability,1972706358031163725,2025-09-29T16:53:41Z,JjanIsTweeting,"@zanatul_91 Saya dari mulai ikat 10 ompreng MBG dibantu anak-anak, sampai ngikat 28 sendiri. Lulus ya, S.Pd., Gr.,",0,0,0,https://x.com/JjanIsTweeting/status/1972706358031163725,27
material_keamanan,1970406519956217939,2025-09-23T08:34:57Z,adarwis,"Hasil uji coba lab di China, Food tray MBG terbukti berlapis minyak babi https://t.co/X107dUEZIg",432,40,203,https://x.com/adarwis/status/1970406519956217939,945
material_keamanan,1967622299873649044,2025-09-15T16:11:27Z,NovalAssegaf,Bahan baku minyak babi memang digunakan dalam proses pembuatan ompreng MBG.,349,36,196,https://x.com/NovalAssegaf/status/1967622299873649044,840
material_keamanan,1965586865043767593,2025-09-10T01:23:22Z,GunRomli,"Nampan (food tray) MBG ini kan terbuat stainless, apa bisa stainless mengandung lemak babi? Atau ini dalih untuk jalan-jalan ke China? Drpd ribut soal nampan & alasan mengada-ada, lebih baik fokus MBG jgn sampe ada keracunan lg",376,97,100,https://x.com/GunRomli/status/1965586865043767593,791
material_keamanan,1975857668515565659,2025-10-08T09:35:52Z,akhyar_22,"Stainless Steel:

+: 
Mudah dibersihkan, 
Suhu makanan awet (lebih awet lagi kalau pake lunch bag)
-:
Harus dicuci abis makan entar jadi berbekas, 
Sebelum beli, cek dlu bahannya food grade ga (ingat, Ompreng MBG beracun + Minyak babi itu dari stainless steel)",117,0,19,https://x.com/akhyar_22/status/1975857668515565659,179
material_keamanan,1969030320306458925,2025-09-19T13:26:25Z,geloraco,PBNU: Food Tray MBG yang Diduga Mengandung Minyak Babi Bisa Digunakan Setelah Dicuci Bersih,11,4,4,https://x.com/geloraco/status/1969030320306458925,48
ergonomi_penggunaan,1980236305897513307,2025-10-20T11:35:00Z,AiraNtiePuspa,"Guru skrg, selain hrs jago ngiket food tray MBG jg wajib punya skill Damkar😂😂😂
Kok bisa sii bocil ciwi ini nyangkut, mana permen nya ga dilepas pulaakk😂 https://t.co/Mn0LW9wqYy",49,8,10,https://x.com/AiraNtiePuspa/status/1980236305897513307,106
ergonomi_penggunaan,1972706358031163725,2025-09-29T16:53:41Z,JjanIsTweeting,"@zanatul_91 Saya dari mulai ikat 10 ompreng MBG dibantu anak-anak, sampai ngikat 28 sendiri. Lulus ya, S.Pd., Gr.,",0,0,0,https://x.com/JjanIsTweeting/status/1972706358031163725,27
ergonomi_penggunaan,1973082252654616950,2025-09-30T17:47:21Z,simawalisi,@zanatul_91 Dua jam pelajaran 2×40 menit sudah diambil untuk distribusi ompreng MBG setiap hari. Ini akan jauh lebih singkat jika murid bawa bekal sendiri yang dimasak oleh ibunya.,0,0,0,https://x.com/simawalisi/status/1973082252654616950,27
ergonomi_penggunaan,1971100781056332251,2025-09-25T06:33:42Z,tusukancilok,"habis gini tugas guru bertambah 1 yakni ""ngitung ompreng mbg""",1,2,0,https://x.com/tusukancilok/status/1971100781056332251,23
ergonomi_penggunaan,1971932297562935657,2025-09-27T13:37:51Z,ashypweetty,iya soalnya nyendok pake tutup ompreng mbg nya😅😅,0,0,0,https://x.com/ashypweetty/status/1971932297562935657,21
higienitas,1970406519956217939,2025-09-23T08:34:57Z,adarwis,"Hasil uji coba lab di China, Food tray MBG terbukti berlapis minyak babi https://t.co/X107dUEZIg",432,40,203,https://x.com/adarwis/status/1970406519956217939,945
higienitas,1973651340040741131,2025-10-02T07:28:42Z,salam4jari,"Gak cuma menggunakan minyak babi, ompreng MBG ternyata dicuci dengan cara yang higienis.",336,22,115,https://x.com/salam4jari/status/1973651340040741131,637
higienitas,1974214518407389375,2025-10-03T20:46:34Z,GenZNusantara,SPPG Akan Pastikan Ompreng MBG Bersih Sesuai Arahan Presiden Prabowo #MakanBergiziGratis,3,225,26,https://x.com/GenZNusantara/status/1974214518407389375,526
higienitas,1973645522243297545,2025-10-02T07:05:35Z,Duren___,"EMANG BGINI
Cara cuci food tray MBG??
Netizen pasti ngomel2... https://t.co/J9qAKjw0KS",110,28,54,https://x.com/Duren___/status/1973645522243297545,301
